MAG_ID	Family	Clade	Clade_abbreviation	habitat	num_contigs	sum_len_contigs	min_len_contigs	avg_len_contigs	max_len_contigs	N50_contig_length	num_proteins	sum_protein_length	min_protein_len	avg_protein_len	max_protein_len	mag_id_original	mag_id_short	fasta_file	fasta_path
SRX331950.29.dc.fa	Iridivoridae	Iridivoridae_clade_1	IR01	Freshwater	7	381292	10302	54470.3	138523	98706	393	117153	37	298.1	1577	SRX331950.29.dc.fa	SRX331950.29	SRX331950.29.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/SRX331950.29.fa.dc.faa
SRX802076.27.dc.fa	Iridivoridae	Iridivoridae_clade_1	IR01	Marine	8	234631	12060	29328.9	54836	28399	232	69987	30	301.7	2194	SRX802076.27.dc.fa	SRX802076.27	SRX802076.27.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/SRX802076.27.fa.dc.faa
SRX802077.164.dc.fa	Iridivoridae	Iridivoridae_clade_1	IR01	Marine	11	165392	11175	15035.6	19877	14757	191	50291	30	263.3	1569	SRX802077.164.dc.fa	SRX802077.164	SRX802077.164.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/SRX802077.164.fa.dc.faa
SRX802143.125.dc.fa	Iridivoridae	Iridivoridae_clade_1	IR01	Marine	12	331275	11400	27606.3	78710	39250	356	100218	32	281.5	1567	SRX802143.125.dc.fa	SRX802143.125	SRX802143.125.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/SRX802143.125.fa.dc.faa
SRX802189.61.dc.fa	Iridivoridae	Iridivoridae_clade_1	IR01	Marine	11	280222	10095	25474.7	44605	30286	324	85916	32	265.2	1317	SRX802189.61.dc.fa	SRX802189.61	SRX802189.61.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/SRX802189.61.fa.dc.faa
SRX802202.32.dc.fa	Iridivoridae	Iridivoridae_clade_1	IR01	Marine	4	209005	11536	52251.3	150921	150921	184	62200	41	338.0	2689	SRX802202.32.dc.fa	SRX802202.32	SRX802202.32.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/SRX802202.32.fa.dc.faa
SRX802202.41.dc.fa	Iridivoridae	Iridivoridae_clade_1	IR01	Marine	9	245886	13447	27320.7	48689	28284	258	75342	24	292.0	1667	SRX802202.41.dc.fa	SRX802202.41	SRX802202.41.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/SRX802202.41.fa.dc.faa
SRX802963.105.dc.fa	Iridivoridae	Iridivoridae_clade_1	IR01	Marine	8	254780	13170	31847.5	66843	40380	265	77859	21	293.8	1667	SRX802963.105.dc.fa	SRX802963.105	SRX802963.105.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/SRX802963.105.fa.dc.faa
SRX803008.97.dc.fa	Iridivoridae	Iridivoridae_clade_1	IR01	Marine	7	256109	18799	36587.0	73549	56495	255	76183	30	298.8	2194	SRX803008.97.dc.fa	SRX803008.97	SRX803008.97.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/SRX803008.97.fa.dc.faa
ERX943717.62.dc.fa	Iridivoridae	Iridivoridae_clade_2	IR02	Marine	5	157242	17879	31448.4	48549	47781	164	48251	33	294.2	1324	ERX943717.62.dc.fa	ERX943717.62	ERX943717.62.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX943717.62.fa.dc.faa
ERX943721.61.dc.fa	Iridivoridae	Iridivoridae_clade_2	IR02	Marine	5	148860	10082	29772.0	69205	38081	155	45414	28	293.0	1324	ERX943721.61.dc.fa	ERX943721.61	ERX943721.61.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX943721.61.fa.dc.faa
ERX1114176.37.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	4	146670	19370	36667.5	56383	47945	227	45920	33	202.3	1057	ERX1114176.37.dc.fa	ERX1114176.37	ERX1114176.37.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX1114176.37.fa.dc.faa
ERX289004.48.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	6	142105	10705	23684.2	34434	22729	178	45325	23	254.6	1772	ERX289004.48.dc.fa	ERX289004.48	ERX289004.48.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX289004.48.fa.dc.faa
ERX552252.26.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	3	139293	32161	46431.0	70856	70856	212	43981	35	207.5	1461	ERX552252.26.dc.fa	ERX552252.26	ERX552252.26.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552252.26.fa.dc.faa
ERX552252.57.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	7	141967	12233	20281.0	30153	23460	212	45536	37	214.8	1074	ERX552252.57.dc.fa	ERX552252.57	ERX552252.57.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552252.57.fa.dc.faa
ERX552252.6.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	2	165302	64665	82651.0	100637	100637	206	52879	34	256.7	2285	ERX552252.6.dc.fa	ERX552252.6	ERX552252.6.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552252.6.fa.dc.faa
ERX552253.44.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	4	146122	11402	36530.5	68883	38492	220	46494	20	211.3	1461	ERX552253.44.dc.fa	ERX552253.44	ERX552253.44.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552253.44.fa.dc.faa
ERX552274.25.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	2	167550	64328	83775.0	103222	103222	211	53634	34	254.2	2285	ERX552274.25.dc.fa	ERX552274.25	ERX552274.25.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552274.25.fa.dc.faa
ERX552274.7.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	6	120849	11891	20141.5	28548	25759	180	38669	39	214.8	1424	ERX552274.7.dc.fa	ERX552274.7	ERX552274.7.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552274.7.fa.dc.faa
ERX552280.25.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	6	105774	10169	17629.0	25489	17677	160	33087	44	206.8	1015	ERX552280.25.dc.fa	ERX552280.25	ERX552280.25.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552280.25.fa.dc.faa
ERX552283.11.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	9	123748	10790	13749.8	19199	13858	189	39560	28	209.3	902	ERX552283.11.dc.fa	ERX552283.11	ERX552283.11.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552283.11.fa.dc.faa
ERX552283.12.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	8	119588	10807	14948.5	20378	14235	175	38002	32	217.2	1643	ERX552283.12.dc.fa	ERX552283.12	ERX552283.12.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552283.12.fa.dc.faa
ERX552283.13.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	4	158789	14811	39697.3	53406	49954	225	51319	36	228.1	1491	ERX552283.13.dc.fa	ERX552283.13	ERX552283.13.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552283.13.fa.dc.faa
ERX552295.44.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	2	153610	42692	76805.0	110918	110918	194	49001	43	252.6	1940	ERX552295.44.dc.fa	ERX552295.44	ERX552295.44.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552295.44.fa.dc.faa
ERX552309.9.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	4	157748	17283	39437.0	68922	38595	234	50140	33	214.3	1073	ERX552309.9.dc.fa	ERX552309.9	ERX552309.9.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552309.9.fa.dc.faa
ERX552326.9.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	7	157771	11010	22538.7	38109	25741	243	49535	36	203.8	1420	ERX552326.9.dc.fa	ERX552326.9	ERX552326.9.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552326.9.fa.dc.faa
ERX552333.20.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	5	148709	14307	29741.8	81121	81121	211	46242	41	219.2	1310	ERX552333.20.dc.fa	ERX552333.20	ERX552333.20.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552333.20.fa.dc.faa
ERX552336.20.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	5	147036	12400	29407.2	56065	30071	204	46830	35	229.6	1547	ERX552336.20.dc.fa	ERX552336.20	ERX552336.20.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552336.20.fa.dc.faa
ERX552336.34.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	7	152108	10652	21729.7	43104	38907	203	48040	33	236.7	1772	ERX552336.34.dc.fa	ERX552336.34	ERX552336.34.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552336.34.fa.dc.faa
ERX552348.26.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	4	130852	22384	32713.0	49947	35674	166	41893	35	252.4	2714	ERX552348.26.dc.fa	ERX552348.26	ERX552348.26.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552348.26.fa.dc.faa
ERX552357.22.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	4	110228	12885	27557.0	41630	38555	160	34424	39	215.2	1359	ERX552357.22.dc.fa	ERX552357.22	ERX552357.22.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552357.22.fa.dc.faa
ERX555907.107.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	6	154620	14852	25770.0	51143	26738	228	49380	30	216.6	1073	ERX555907.107.dc.fa	ERX555907.107	ERX555907.107.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX555907.107.fa.dc.faa
ERX555907.43.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	10	181623	10047	18162.3	26412	22634	280	58198	20	207.9	2426	ERX555907.43.dc.fa	ERX555907.43	ERX555907.43.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX555907.43.fa.dc.faa
ERX555907.98.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	5	107999	12425	21599.8	26616	22972	141	34874	39	247.3	2823	ERX555907.98.dc.fa	ERX555907.98	ERX555907.98.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX555907.98.fa.dc.faa
ERX555913.35.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	5	109794	14751	21958.8	42831	19283	163	34491	30	211.6	1298	ERX555913.35.dc.fa	ERX555913.35	ERX555913.35.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX555913.35.fa.dc.faa
ERX555927.8.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	4	122603	24895	30650.8	38137	31136	170	38874	38	228.7	1385	ERX555927.8.dc.fa	ERX555927.8	ERX555927.8.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX555927.8.fa.dc.faa
ERX555958.13.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	4	101122	15720	25280.5	49405	18287	141	32098	58	227.6	1345	ERX555958.13.dc.fa	ERX555958.13	ERX555958.13.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX555958.13.fa.dc.faa
ERX555958.18.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	5	106322	11010	21264.4	26851	25909	159	33602	37	211.3	1074	ERX555958.18.dc.fa	ERX555958.18	ERX555958.18.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX555958.18.fa.dc.faa
ERX555961.17.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	4	143173	31552	35793.3	44645	34541	210	45531	38	216.8	1074	ERX555961.17.dc.fa	ERX555961.17	ERX555961.17.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX555961.17.fa.dc.faa
ERX555961.3.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	6	136799	17219	22799.8	36960	21976	184	44353	34	241.0	2892	ERX555961.3.dc.fa	ERX555961.3	ERX555961.3.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX555961.3.fa.dc.faa
ERX555967.111.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	4	170616	19276	42654.0	72853	55702	228	54360	31	238.4	1197	ERX555967.111.dc.fa	ERX555967.111	ERX555967.111.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX555967.111.fa.dc.faa
ERX555976.56.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	5	105751	10804	21150.2	29712	22407	134	33900	36	253.0	1308	ERX555976.56.dc.fa	ERX555976.56	ERX555976.56.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX555976.56.fa.dc.faa
ERX555976.71.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	5	117858	10413	23571.6	41069	27818	173	37691	36	217.9	1076	ERX555976.71.dc.fa	ERX555976.71	ERX555976.71.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX555976.71.fa.dc.faa
ERX555978.25.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	4	163128	20622	40782.0	68159	37726	227	52022	39	229.2	1746	ERX555978.25.dc.fa	ERX555978.25	ERX555978.25.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX555978.25.fa.dc.faa
ERX555984.3.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	3	193442	11268	64480.7	110011	110011	249	61725	35	247.9	2031	ERX555984.3.dc.fa	ERX555984.3	ERX555984.3.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX555984.3.fa.dc.faa
ERX555987.14.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	10	164700	10174	16470.0	30031	19148	235	52236	30	222.3	1041	ERX555987.14.dc.fa	ERX555987.14	ERX555987.14.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX555987.14.fa.dc.faa
ERX555987.30.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	6	132851	10157	22141.8	28651	24255	197	42116	41	213.8	1412	ERX555987.30.dc.fa	ERX555987.30	ERX555987.30.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX555987.30.fa.dc.faa
ERX556003.46.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	6	175370	12411	29228.3	68750	33334	246	56210	35	228.5	2172	ERX556003.46.dc.fa	ERX556003.46	ERX556003.46.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX556003.46.fa.dc.faa
ERX556003.9.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	5	107805	14318	21561.0	34138	24101	175	34946	42	199.7	958	ERX556003.9.dc.fa	ERX556003.9	ERX556003.9.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX556003.9.fa.dc.faa
ERX556023.2.dc.fa	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	9	174454	10290	19383.8	28500	19730	285	55166	23	193.6	926	ERX556023.2.dc.fa	ERX556023.2	ERX556023.2.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX556023.2.fa.dc.faa
